День;Тема;Описание;Длительность (минут)
1;Установка Python и IDE;Установка Python и настройка рабочей среды (VS Code, PyCharm и т.д.);90
2;Введение в Python;Синтаксис, переменные, типы данных, условные операторы;90
3;Переменные и Типы данных (Часть 1);Числа, строки, списки и кортежи;90
4;Переменные и Типы данных (Часть 2);Словари и множества;90
5;Условные операторы;Операторы if, else, elif;90
6;Циклы (Часть 1);Цикл for;90
7;Циклы (Часть 2);Цикл while;90
8;Работа с функциями (Часть 1);Определение и вызов функций;90
9;Работа с функциями (Часть 2);Аргументы и параметры функций;90
10;Работа с методами;Методы строк, списков и словарей;90
11;Модули и пакеты (Часть 1);Импорт стандартных модулей;90
12;Модули и пакеты (Часть 2);Создание своих модулей;90
13;Структуры данных (Часть 1);Списки;90
14;Структуры данных (Часть 2);Кортежи;90
15;Структуры данных (Часть 3);Словари;90
16;Структуры данных (Часть 4);Множества;90
17;Работа с файлами (Часть 1);Чтение из файлов;90
18;Работа с файлами (Часть 2);Запись в файлы;90
19;Работа с CSV файлами;Чтение и запись CSV файлов;90
20;Обработка исключений (Часть 1);try, except блоки;90
21;Обработка исключений (Часть 2);finally блок;90
22;ООП в Python (Часть 1);Введение в классы и объекты;90
23;ООП в Python (Часть 2);Методы и атрибуты классов;90
24;ООП в Python (Часть 3);Наследование;90
25;ООП в Python (Часть 4);Полиморфизм;90
26;Встроенные функции (Часть 1);Работа с map() и filter();90
27;Встроенные функции (Часть 2);Работа с reduce();90
28;Изучение модуля math;Использование математических функций;90
29;Изучение модуля datetime;Работа с датами и временем;90
30;Изучение модуля os и sys;Работа с операционной системой;90
31;Научные библиотеки (Часть 1);Введение в NumPy;90
32;Научные библиотеки (Часть 2);Ndarray и операции над массивами в NumPy;90
33;Научные библиотеки (Часть 3);Введение в Pandas;90
34;Научные библиотеки (Часть 4);DataFrame и работа с данными в Pandas;90
35;Визуализация данных (Часть 1);Введение в Matplotlib;90
36;Визуализация данных (Часть 2);Построение графиков и диаграмм;90
37;Научные библиотеки (Часть 5);Введение в SciPy;90
38;Веб-разработка (Часть 1);Введение в Flask;90
39;Веб-разработка (Часть 2);Создание простого веб-приложения;90
40;Веб-разработка (Часть 3);Введение в Django;90
41;Веб-разработка (Часть 4);Создание базового проекта на Django;90
42;Работа с API (Часть 1);Введение в requests;90
43;Работа с API (Часть 2);Отправка запросов GET и POST;90
44;Парсинг данных (Часть 1);Введение в BeautifulSoup;90
45;Парсинг данных (Часть 2);Парсинг HTML данных;90
46;Парсинг данных (Часть 3);Введение в Scrapy;90
47;Парсинг данных (Часть 4);Создание паука для сбора данных;90
48;Практический проект (Часть 1);Создание калькулятора на Python;90
49;Практический проект (Часть 2);Создание консольной игры (например, крестики-нолики);90
50;Автоматизация задач (Часть 1);Введение в Selenium;90
51;Автоматизация задач (Часть 2);Автоматизация браузера;90
52;Расширенные темы (Часть 1);Введение в Git и GitHub;90
53;Расширенные темы (Часть 2);Работа с базами данных: Введение в SQLite;90
54;Продвинутые темы (Часть 1);Многопоточность: Введение в threading;90
55;Продвинутые темы (Часть 2);Асинхронное программирование: Введение в asyncio;90
56;Работа с регулярными выражениями;Введение в модуль re;90
57;Машинное обучение (Часть 1);Введение в Scikit-learn;90
58;Машинное обучение (Часть 2);Основные алгоритмы;90
59;Машинное обучение (Часть 3);TensorFlow или PyTorch: введение;90
60;Заключительный проект (Часть 1);Анализ данных из CSV файла;90
61;Заключительный проект (Часть 2);Подготовка и визуализация данных;90
62;Заключительный проект (Часть 3);Создание веб-приложения для отображения данных;90
63;Заключительный проект (Часть 4);Подведение итогов и улучшение кода;90
64;Резервный день;Исправление ошибок и завершение начатого;90
65;Резервный день;Исправление ошибок и завершение начатого;90
66;Дополнительные темы;Углубление в интересующие темы;90
67;Участие в сообществах;Поиск и участие в проектах с открытым исходным кодом;90
